"","ens_gene","target_id","pval","qval","b","se_b","mean","var","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"6151","WBGene00022805","nhr-256",0.300564064357082,0.819156514735014,-0.0961433828078816,0.0928720096801642,5.43303038865491,0.00757870683526602,0.00303554696212631,0.00297150531030257,0.00990226831092247,0.00990226831092247
"6152","WBGene00008973","F20D1.1",0.300627608483888,0.819156514735014,-0.0665204615698465,0.0642654856293999,6.84741037268232,0.00260301715039939,0.00100652498894204,0.00058788202125767,0.00518855397583187,0.00518855397583187
"6153","WBGene00004854","slt-1",0.300406082618444,0.819156514735014,-0.125010764684385,0.120717687174102,5.38529881253159,0.0221756193820895,0.00423647402136164,0.0176226659736348,0.0101839377603803,0.0176226659736348
"6154","WBGene00023318","K07D4.1",0.30056460533416,0.819156514735014,-0.151186653513773,0.146042542436896,4.35244157403644,0.0154162385974786,0.0130286387660895,-0.00232986709450135,0.0189639975360596,0.0189639975360596
"6155","WBGene00009341","thoc-3",0.300616895589722,0.819156514735014,0.0623848175025911,0.0602686998923367,7.28210225006089,0.00485772102976062,0.000641198482539568,0.00397150325909936,0.00480727579752924,0.00480727579752924
"6156","WBGene00001921","his-47",0.300355092516119,0.819156514735014,-1.01109783381196,0.976272054461016,1.58198433659692,1.45042419804761,0.891260460654963,0.538400225827337,0.23938933959803,0.538400225827337
"6157","WBGene00016789","djr-1.2",0.300811577799547,0.819211255467487,-0.636736758856102,0.615386205761251,1.62935451856105,0.320058829070333,0.340357083299933,-0.092321184491482,0.22769319006191,0.22769319006191
"6158","WBGene00009254","capg-1",0.300797716401804,0.819211255467487,-0.10490022654558,0.101379887867374,8.7249622983257,0.0156346752555959,0.000162800827576747,0.0152540216684253,0.00509869818020561,0.0152540216684253
"6159","WBGene00017435","F13H8.2",0.300879889737967,0.819211255467487,-0.0766483380299934,0.0740886964506491,8.34842998316124,0.00834945224693571,0.000259892686650945,0.00797380972598368,0.00489194527670043,0.00797380972598368
"6160","WBGene00012208","W02D9.2",0.300989565246579,0.819211255467487,-0.0619983628550774,0.0599415504527087,7.30194652856443,0.00515545165384742,0.000591749859047959,0.00441114083449513,0.00479773434696397,0.00479773434696397
"6161","WBGene00019806","R01B10.4",0.300921525693624,0.819211255467487,0.0846356263669955,0.0818162994471859,5.89853300597582,0.00749751547305707,0.00240991264756362,0.00427578572480756,0.00763094763528378,0.00763094763528378
"6162","WBGene00000389","cdc-25.4",0.300721851569936,0.819211255467487,-0.194558460023538,0.187999778222401,3.74946249296699,0.0200811825289383,0.0242908469094831,-0.0133842416358342,0.0287250280080248,0.0287250280080248
"6163","WBGene00001157","ech-8",0.300976195771781,0.819211255467487,0.0779754940881083,0.0753865509468696,6.15489853214905,0.00845705798798964,0.00177709040192795,0.00651416545370237,0.00674760769356951,0.00674760769356951
"6164","WBGene00021135","W10G11.2",0.301057159262227,0.819253092694564,0.330845724115593,0.319914560463862,3.96267175424428,0.155652059145814,0.0209189163128827,0.132599072682296,0.0246708159583823,0.132599072682296
"6165","WBGene00044534","H23N18.6",0.301102618126982,0.819253092694564,0.437060100991568,0.422659353829119,2.25099198252569,0.0752253950898462,0.149873281570247,-0.127474612162474,0.118088112498626,0.118088112498626
"6166","WBGene00017634","F20D6.2",0.301152263502931,0.819255281868012,0.542068205341058,0.524261373637232,1.8168788211701,0.286285722298383,0.225574272703704,0.0220936529536461,0.186700709128293,0.186700709128293
"6167","WBGene00013450","oac-56",0.302425956092258,0.819391691703087,0.377199394249414,0.365770892898143,2.48378328102554,0.120895282381895,0.108025755431282,-0.0102614210872102,0.0926567637059746,0.0926567637059746
"6168","WBGene00015561","C07A12.7",0.302389638748922,0.819391691703087,-0.0751655024023408,0.0728826402949164,6.27724406379791,0.00281311553063369,0.00157989121457873,-0.000182191583060226,0.00638792766995852,0.00638792766995852
"6169","WBGene00268214","C49F5.12",0.302521327454228,0.819391691703087,0.536176593888082,0.520033925755221,1.94305765646966,0.410767942673691,0.166520619629121,0.23913230627546,0.163361978303819,0.23913230627546
"6170","WBGene00012182","osta-3",0.301808123274202,0.819391691703087,-0.0948833007986692,0.0918909901970376,6.71620235986882,0.0128335971264057,0.00153543317627183,0.0111304979428163,0.005390597803612,0.0111304979428163
