mz,Formula,SMID,attachments on glucose,anomeric,acylation1_2C,acylation2_6C,class_2C,class_6C,Stable isotope labeling,rt_minutes,cest-1.2_A,cest-1.2_B,cest-1.2_C,cest-1.2_D,cest-2.1_A,cest-2.1_B,cest-2.1_C,cest-2.1_D,N2_A,N2_B,N2_C,N2_D
568.11211,C26H24N3O10P,iglu#56,indole nicotinic acid (x2),indole,nicotinic_acid,nicotinic_acid,AA,AA,,9.71,10437.73211,7929.111966,3102.107349,8352.364361,2362138.058,3462566.001,1509265.702,1581433.53,2638857.821,3007301.707,927877.4358,906069.2409
570.12776,C26 H26 O10 N3 P,iglu#57,indole anthranilic acid pyrrolic acid,indole,pyrrolic_acid,nicotinic_acid,AA,AA,,11.94,0,0,0,0,1120603.152,1774222.886,192246.9494,423232.6728,3791883.917,4617602.16,2023712.784,176804.0474
571.11177,C26 H25 O11 N2 P,iglu#60,indole hydroxybenzoic acid pyrrolic acid,indole,pyrrolic_acid,hydroxybenzoic_acid,AA,AA,,11.1,0,0,0,0,273815.7681,420014.6885,19378.26749,59051.51466,983960.8888,1265326.458,343131.3478,23249.98872
463.09064,C20H21N2O9P,iglu#601,indole nicotinic acid,indole,nicotinic_acid,NA,AA,,,8.3,233616.292,280379.5276,161047.6132,175013.9302,6905118.335,11163688.41,4592081.861,4738761.292,10253830.6,11904751.64,4744873.819,3011641.655
571.123,C25 H25 O10 N4 P,iglu#62,indole uraconic acid pyrrolic acid,indole,pyrrolic_acid,uraconic_acid,AA,AA,,9.3,0,0,575.659878,0,51591.02772,71854.50176,651.335401,7329.029442,155159.8778,266652.496,68821.87151,2635.817063
580.13726,C29 H28 O10 N P,iglu#64,indole benzoic acid phenylacetic acid,indole,phenylacetic_acid,benzoic_acid,AA,AA,,13.46,1736.586542,1768.074982,0,0,564274.3676,953404.4956,188764.3284,304286.7544,1184733.378,1180336.314,426011.6714,81032.31581
581.13251,C28 H27 O10 N2 P,iglu#65,indole benzoic acid anthranilic acid,indole,benzoic_acid,anthranilic_acid,AA,AA,,12.95,0,881.6631328,0,0,3762760.018,5981209.016,1540375.461,2288624.604,7074615.977,7094515.354,3223758.649,1108680.554
582.12776,C27 H26 O10 N3 P,iglu#69,indole benzoic acid uraconic acid,indole,benzoic_acid,uraconic_acid,AA,AA,,10.95,709.040859,0,0,0,5041277.208,9117797.24,4064103.913,4688678.47,8197127.276,8424526.976,5387146.653,3885318.824
595.14816,C29 H29 O10 N2 P,iglu#72,indole anthranilic acid phenylacetic acid,indole,anthranilic_acid,phenylacetic_acid,AA,AA,,13.16,0,0,0,0,221396.6499,394880.2036,195806.6705,218794.7134,477672.5032,390345.2717,320441.4193,160365.0804
596.14341,C28H28N3O10P,iglu#74,indole anthranilic acid (x2),indole,anthranilic_acid,anthranilic_acid,AA,AA,,12.55,0,0,0,0,4926815.904,8137516.018,3972412.309,4521831.952,9097254.431,7470870.333,8067255.203,4305497.079
597.12742,C28 H27 O11 N2 P,iglu#75,indole anthranilic acid hydroxybenozic acid,indole,hydroxybenzoic_acid,anthranilic_acid,AA,AA,,11.49,278.8221766,0,0,0,713559.0495,1103816.161,305667.1556,399895.9962,1609874.645,1579284.192,974091.8878,619196.5636
440.11104,C19H24NO9P,iglu#801,indole tiglic acid,indole,tiglic_acid,NA,Unsat_OA,,,10.04,4760.119942,13034.10284,11335.42911,13753.47668,4668045.141,8666445.704,7966918.228,6155251.608,4121499.17,3481334.383,3385511.074,3514882.34
597.13866,C27 H27 O10 N4 P,iglu#82,indole anthranilic acid uraconic acid,indole,anthranilic_acid,uraconic_acid,AA,AA,,9.7,0,0,0,0,128111.5803,186510.1499,32391.93742,52786.8438,274875.8041,334773.5992,182133.5851,81690.61027
611.14307,C29 H29 O11 N2 P,iglu#86,indole anthranilic acid hydroxylphenylacetic acid,indole,anthranilic_acid,hydroxyphenylacetic_acid,AA,AA,,11.6,0,0,0,0,95989.82573,161617.1986,72852.89366,88346.51508,195242.5569,191046.2776,88738.75313,62340.5642
559.14816,C26 H29 O10 N2 P,iglu#88,indole anthranilic acid tiglic acid,indole,anthranilic_acid,tiglic_acid,AA,Unsat_OA,,12.74,0,0,0,0,8749242.897,15322205.24,7068622.015,9161545.769,11796593.25,8542913.654,8567935.072,5857016.295
533.13251,C24 H27 O10 N2 P,iglu#92,indole nicotinic acid butyric acid,indole,nicotinic_acid,butyric_acid,AA,SCFA,,12.3,0,0,1104.238231,790.6889355,1079842.342,1891391.097,223528.8667,520088.1615,2626085.124,2604008.183,1408425.532,165079.3386
510.1026,C19 H22 O10 N5 P,mgglu#201,"methyl guanine, benzoic acid",methylguanine,benzoic_acid,NA,AA,,,5.36,688.8588446,1223.321002,2301.713734,2717.974762,256737.1678,368728.7676,112406.619,156392.7996,655291.748,690269.5769,315679.6076,70124.68748
598.1339,C26 H26 O10 N5 P,mgglu#4,methyl adenine benzoic acid (x2),methylguanine,benzoic_acid,benzoic_acid,AA,AA,,7.64,0,565.1874242,0,831.39729,7143.121985,12494.12294,0,0,65980.06547,99193.89928,14589.64911,2529.714021
550.11144,C24H26NO12P,nglu#3,nicotinic acid benzoic acid tiglic acid,nicotinate,benzoic_acid,tiglic_acid,AA,Unsat_OA,,10.6,598.3398331,0,0,0,279842.6457,484871.4637,434258.461,363852.8743,281956.9401,198412.8165,151641.9297,246367.3359
551.10669,C23 H25 O12 N2 P,nglu#5,nicotinc acid (x2) tiglic acid,nicotinate,tiglic_acid,nicotinic_acid,Unsat_OA,AA,,9.04,2742.101808,4624.156882,0,654.6164749,184519.5291,315901.1903,212931.8234,179346.3138,302289.7175,288016.8128,134777.5593,164677.5664
565.12234,C24H27N2O12P,nglu#7,nicotinic acid (x2) 6:1,nicotinate,FA_6:1,nicotinic_acid,SCFA,AA,,9.89,2543.834334,3590.32567,1925.258528,2203.993454,568516.6715,1246914.812,1530840.225,934924.2066,605914.3615,401638.0823,427251.0418,850567.2968
595.16929,C26 H33 O12 N2 P,oglu#10,octopamine anthranilic acid tiglic acid,octopamine,anthranilic_acid,tiglic_acid,AA,Unsat_OA,d1 from d2-L-tyrosine,7.48,2150.571029,1773.474368,4969.143114,9148.541477,2337409.223,3442219.899,3802466.379,3769399.834,1469639.087,1250757.43,2578479.217,2051394.271
602.14274,C28 H30 O12 N P,oglu#12,octopamine benzoic acid (x2),octopamine,benzoic_acid,benzoic_acid,AA,AA,,7.98,33056.90133,54665.9895,32152.69464,33251.95519,484248.5209,672286.2737,307856.3666,413084.4713,692686.6206,832780.4558,362261.0121,139944.5454
606.14889,C26 H30 O12 N3 P,oglu#14,octopamine anthranilic acid pyrrolic acid,octopamine,anthranilic_acid,pyrrolic_acid,AA,AA,,6.99,23058.13351,22392.1395,9327.680575,18385.1415,154603.2518,211969.1031,50599.53192,83050.96281,268123.2438,312291.9374,217526.8691,26350.98029
618.14889,C27 H30 O12 N3 P,oglu#15,octopamine anthranilic acid nicotinic acid,octopamine,nicotinic_acid,anthranilic_acid,AA,AA,,6.48,0,0,0,0,545369.0345,800070.9785,427855.0791,502625.9498,540033.2715,530552.8231,357342.315,214561.7005
633.14855,C28 H31 O13 N2 P,oglu#17,octopamine anthranilic acid hydroxybenzoic acid,octopamine,anthranilic_acid,hydroxybenzoic_acid,AA,AA,,7,0,0,0,0,243816.9951,376101.4048,188862.1557,274182.6477,178499.8982,188742.8538,193764.2273,118050.77
638.20025,C29 H38 O13 N P,oglu#20,octopamine benzoic acid m8:1,octopamine,benzoic_acid,FA_m8:1,AA,SCFA,,8.36,23796.85179,31406.2866,16766.33939,13585.77221,727959.4789,841358.9366,300537.227,148514.2988,1008133.337,1358999.574,80826.98508,88457.22561
653.21115,C29 H39 O13 N2 P,oglu#22,octopamine anthranilic acid m6:1,octopamine,anthranilic_acid,FA_m6:1,AA,SCFA,,8.13,2775.23967,3522.099072,1691.073974,5041.65271,654192.9262,1064590.922,352160.8435,401348.2521,772146.5135,710208.5495,284457.8289,131109.3866
603.13799,C27 H29 O12 N2 P,oglu#24,octopamine nicotinic acid benzoic acid,octopamine,nicotinic_acid,benzoic_acid,AA,AA,,6.74,5274.49936,7481.166472,2979.04049,4338.657042,38870.15902,49476.01513,62848.69451,39796.07337,53425.4692,45490.90068,31240.76143,21227.14455
580.13324,C24 H28 O12 N3 P,oglu#26,octopamine pyrrolic acid (x2),octopamine,pyrrolic_acid,pyrrolic_acid,AA,AA,,6.69,0,3732.628072,0,0,22723.10721,32102.7844,2315.11732,7126.27507,117931.9892,146901.1038,88324.53749,721.7409183
588.25792,C27H44NO11P,oglu#28,octopamine becyp#1,octopamine,FA_cfa:becyp#1,NA,FA,,,10.68,181482.5493,244589.1153,359740.7138,388851.1952,650.2663018,1953.731763,632.6370343,2431.074283,259017.9546,175933.3088,306889.9041,278677.7454
646.20589,C31H38NO12P,oglu#30,tentative,octopamine,FA_10:3,NA,FA,,,9.76,306247.4024,485139.2235,294956.3542,272233.2606,494.9167751,1664.783923,0,0,325152.4558,293367.7103,218528.0703,83247.59229
662.23719,C32H42NO12P,oglu#32,tentative,octopamine,FA_11:2,benzoic_acid,FA,AA,,10.76,119991.6885,157758.7884,130560.0883,89533.96325,5832.351854,10022.51139,3068.211489,2918.167297,194447.5436,198831.2507,138249.38,56221.38656
666.26849,C32H46NO12P,oglu#34,tentative,octopamine,FA_11:0,benzoic_acid,FA,AA,,10.8,97593.32951,134854.5597,188193.3136,154622.4172,629.4258093,1006.968641,5672.663144,2984.323988,89923.03852,89654.10045,62169.63316,34980.76843
670.29979,C32H50NO12P,oglu#36,tentative,octopamine,FA_cfa:becyp#1,tiglic_acid,FA,Unsat_OA,,11.44,137973.7298,214826.6797,245431.9644,461924.841,0,0,0,0,71809.115,64475.93009,87621.49395,101085.4554
692.28414,C34H48NO12P,oglu#38,tentative,octopamine,FA_cfa:becyp#1,benzoic_acid,FA,AA,,11.56,565030.2913,718929.4328,489516.4851,465134.4603,5291.456115,7848.645665,0,4279.36661,389081.2839,394244.0492,258688.2517,101823.1322
693.27939,C33H47N2O12P,oglu#40,tentative,octopamine,unknown,NA,NA,,,10.96,76857.2542,108762.2737,81820.86289,140061.9966,0,366.2364857,0,0,79100.26287,61139.64389,96521.80639,92114.16487
700.31035,C33H52NO13P,oglu#42,tentative,octopamine,FA_11:1,NA,FA,,,10.82,264244.9123,373184.5818,102844.6537,74685.28176,1599.263574,3957.241226,417.5100961,0,450884.1702,403635.7806,270859.9958,78926.86774
702.326,C33H54NO13P,oglu#44,tentative,octopamine,FA_11:0,NA,FA,,,11.07,136148.5708,256787.5139,82523.71377,22668.20772,0,0,0,836.75579,331131.1212,208126.0687,294484.9596,35886.4585
708.27905,C34H48NO13P,oglu#46,tentative,octopamine,FA_cfa:becyp#1,nicotinic_acid,FA,AA,,11.15,95612.83763,162067.2594,134847.2467,135403.2135,975.4492643,2797.720149,1737.945937,0,120741.9739,90432.21917,123379.5997,76573.26993
